name,state,latitude,longitude,groups
Agartala,Tripura,23.83,91.29,STATE_CAPITALS
Agra,Uttar Pradesh,27.18,78.01,IGP MPC NCAP
Ahmedabad,Gujarat,23.02,72.57,MPC NCAP
Ahmednagar,Maharashtra,19.09,74.74,
Aizawl,Mizoram,23.73,92.72,STATE_CAPITALS
Ajmer,Rajasthan,26.45,74.64,
Akola,Maharashtra,20.7,77.01,NCAP
Alwar,Rajasthan,27.55,76.63,DELHI_NCR NCAP
Amaravati,Andhra Pradesh,16.51,80.52,STATE_CAPITALS
Amravati,Maharashtra,20.94,77.78,NCAP
Amritsar,Punjab,31.63,74.87,IGP MPC NCAP
Anantapur,Andhra Pradesh,14.68,77.6,NCAP
Angul,Odisha,20.83,85.1,NCAP
Ankleshwar,Gujarat,21.63,73.02,
Araria,Bihar,26.15,87.52,IGP
Ariyalur,Tamil Nadu,,,
Arrah,Bihar,,,IGP
Asansol,West Bengal,23.68,86.98,IGP MPC NCAP
Aurangabad (Bihar),Bihar,24.75,84.37,MPC NCAP
Aurangabad (Maharashtra),Maharashtra,19.88,75.34,MPC NCAP
Baddi,Himachal Pradesh,30.95,76.79,NCAP
Badlapur,Maharashtra,19.16,73.26,MPC NCAP
Bagalkot,Karnataka,16.18,75.7,
Baghpat,Uttar Pradesh,28.94,77.21,DELHI_NCR IGP
Balasore,Odisha,21.49,86.93,NCAP
Banswara,Rajasthan,,,
Baran,Rajasthan,,,
Barbil,Odisha,22.67,86.42,
Bareilly,Uttar Pradesh,28.37,79.43,IGP NCAP
Baripada,Odisha,21.95,86.74,
Barmer,Rajasthan,,,
Barrackpore,West Bengal,22.77,88.37,IGP MPC NCAP
Bathinda,Punjab,30.21,74.95,IGP
Begusarai,Bihar,,,IGP
Belapur,Maharashtra,,,
Belgaum,Karnataka,,,
Bengaluru,Karnataka,12.97,77.59,MPC NCAP STATE_CAPITALS
Bettiah,Bihar,,,IGP
Bhagalpur,Bihar,,,IGP
Bharatpur,Rajasthan,27.22,77.49,DELHI_NCR
Bhilai,Chhattisgarh,21.21,81.43,MPC NCAP
Bhilwara,Rajasthan,,,
Bhiwadi,Rajasthan,28.21,76.87,
Bhiwandi,Maharashtra,19.28,73.05,
Bhopal,Madhya Pradesh,23.26,77.41,MPC NCAP STATE_CAPITALS
Bhubaneswar,Odisha,20.3,85.82,NCAP STATE_CAPITALS
Bikaner,Rajasthan,28.02,73.31,
