city,state,period,good,satisfactory,moderate,poor,very_poor,severe,days_with_data
Agartala,Tripura,FY2024-25,63,116,80,42,5,0,306
Agartala,Tripura,FY2025-26,178,58,30,17,11,0,294
Agra,Uttar Pradesh,FY2024-25,97,186,77,4,0,0,364
Agra,Uttar Pradesh,FY2025-26,43,130,178,14,0,0,365
Ahmedabad,Gujarat,FY2024-25,12,127,216,9,0,0,364
Ahmedabad,Gujarat,FY2025-26,33,130,197,5,0,0,365
Ahmednagar,Maharashtra,FY2024-25,30,107,125,35,0,0,297
Ahmednagar,Maharashtra,FY2025-26,100,155,90,0,0,0,345
Aizawl,Mizoram,FY2024-25,209,113,28,0,0,0,350
Aizawl,Mizoram,FY2025-26,135,80,5,0,0,0,220
Ajmer,Rajasthan,FY2024-25,28,227,97,6,0,0,358
Ajmer,Rajasthan,FY2025-26,16,188,153,2,0,0,359
Akola,Maharashtra,FY2024-25,86,152,125,1,0,0,364
Akola,Maharashtra,FY2025-26,110,199,48,0,0,0,357
Alwar,Rajasthan,FY2024-25,36,254,66,3,0,0,359
Alwar,Rajasthan,FY2025-26,7,200,142,1,0,0,350
Amaravati,Andhra Pradesh,FY2024-25,171,130,50,0,0,0,351
Amaravati,Andhra Pradesh,FY2025-26,114,119,96,18,0,0,347
Amravati,Maharashtra,FY2024-25,102,149,111,1,0,0,363
Amravati,Maharashtra,FY2025-26,85,192,87,0,0,0,364
Amritsar,Punjab,FY2024-25,15,164,134,26,6,0,345
Amritsar,Punjab,FY2025-26,43,177,109,10,1,0,340
Anantapur,Andhra Pradesh,FY2024-25,69,193,16,0,0,0,278
Anantapur,Andhra Pradesh,FY2025-26,21,263,29,1,0,0,314
Angul,Odisha,FY2024-25,23,105,138,61,4,0,331
Angul,Odisha,FY2025-26,12,153,101,57,29,0,352
Ankleshwar,Gujarat,FY2024-25,39,175,97,3,0,0,314
Ankleshwar,Gujarat,FY2025-26,3,198,100,15,0,0,316
Araria,Bihar,FY2024-25,17,49,129,34,6,0,235
Araria,Bihar,FY2025-26,33,148,102,13,1,0,297
Ariyalur,Tamil Nadu,FY2024-25,210,69,7,3,0,0,289
Ariyalur,Tamil Nadu,FY2025-26,120,93,2,0,0,0,215
Arrah,Bihar,FY2024-25,24,100,99,17,1,0,241
Arrah,Bihar,FY2025-26,64,141,55,13,0,0,273
Asansol,West Bengal,FY2024-25,23,89,140,101,11,0,364
Asansol,West Bengal,FY2025-26,88,124,127,26,0,0,365
Aurangabad (Bihar),Bihar,FY2024-25,15,68,144,42,2,0,271
Aurangabad (Bihar),Bihar,FY2025-26,40,60,172,10,1,0,283
Aurangabad (Maharashtra),Maharashtra,FY2024-25,65,159,139,0,0,0,363
Aurangabad (Maharashtra),Maharashtra,FY2025-26,80,163,122,0,0,0,365
Baddi,Himachal Pradesh,FY2024-25,5,77,191,77,10,0,360
Baddi,Himachal Pradesh,FY2025-26,6,63,223,57,13,0,362
Badlapur,Maharashtra,FY2024-25,44,111,163,16,0,0,334
Badlapur,Maharashtra,FY2025-26,33,173,139,0,0,0,345
Bagalkot,Karnataka,FY2024-25,239,61,0,0,0,0,300
Bagalkot,Karnataka,FY2025-26,241,57,0,0,0,0,298
Baghpat,Uttar Pradesh,FY2024-25,33,60,178,60,5,0,336
Baghpat,Uttar Pradesh,FY2025-26,16,49,103,90,31,3,292
Balasore,Odisha,FY2024-25,12,157,136,37,0,0,342
Balasore,Odisha,FY2025-26,87,109,95,45,16,0,352
Banswara,Rajasthan,FY2024-25,36,124,164,25,0,0,349
Banswara,Rajasthan,FY2025-26,32,160,149,1,1,0,343
Baran,Rajasthan,FY2024-25,64,120,142,19,0,0,345
Baran,Rajasthan,FY2025-26,41,133,170,11,0,0,355
Barbil,Odisha,FY2024-25,33,90,167,53,3,0,346
Barbil,Odisha,FY2025-26,87,69,160,41,0,0,357
Bareilly,Uttar Pradesh,FY2024-25,183,155,24,0,0,0,362
Bareilly,Uttar Pradesh,FY2025-26,26,269,55,1,0,0,351
Baripada,Odisha,FY2024-25,33,146,131,18,1,0,329
Baripada,Odisha,FY2025-26,89,120,94,20,5,0,328
Barmer,Rajasthan,FY2024-25,36,154,155,7,2,0,354
Barmer,Rajasthan,FY2025-26,18,145,186,13,1,0,363
Barrackpore,West Bengal,FY2024-25,52,125,97,55,12,0,341
Barrackpore,West Bengal,FY2025-26,95,146,74,27,0,0,342
Bathinda,Punjab,FY2024-25,53,156,122,4,2,0,337
Bathinda,Punjab,FY2025-26,64,150,82,13,0,0,309
Begusarai,Bihar,FY2024-25,33,40,85,52,0,0,210
Begusarai,Bihar,FY2025-26,40,140,117,4,0,0,301
Belapur,Maharashtra,FY2024-25,59,92,168,12,0,0,331
Belapur,Maharashtra,FY2025-26,114,104,115,12,0,0,345
Belgaum,Karnataka,FY2024-25,132,140,4,1,0,0,277
Belgaum,Karnataka,FY2025-26,50,85,1,0,0,0,136
Bengaluru,Karnataka,FY2024-25,65,265,34,0,0,0,364
Bengaluru,Karnataka,FY2025-26,41,232,92,0,0,0,365
Bettiah,Bihar,FY2024-25,5,63,143,29,2,0,242
Bettiah,Bihar,FY2025-26,29,180,76,3,0,0,288
Bhagalpur,Bihar,FY2024-25,11,123,158,54,3,0,349
Bhagalpur,Bihar,FY2025-26,36,203,98,4,0,0,341
Bharatpur,Rajasthan,FY2024-25,68,106,150,34,2,0,360
Bharatpur,Rajasthan,FY2025-26,70,102,175,15,0,0,362
Bhilai,Chhattisgarh,FY2024-25,96,211,57,0,0,0,364
Bhilai,Chhattisgarh,FY2025-26,185,174,4,0,0,0,363
Bhilwara,Rajasthan,FY2024-25,65,155,93,22,1,0,336
Bhilwara,Rajasthan,FY2025-26,56,136,148,17,1,0,358
Bhiwadi,Rajasthan,FY2024-25,1,80,180,86,13,1,361
Bhiwadi,Rajasthan,FY2025-26,9,88,118,105,43,0,363
Bhiwandi,Maharashtra,FY2024-25,39,137,146,20,0,0,342
Bhiwandi,Maharashtra,FY2025-26,45,166,142,0,1,0,354
Bhopal,Madhya Pradesh,FY2024-25,47,124,163,30,0,0,364
Bhopal,Madhya Pradesh,FY2025-26,61,99,166,38,1,0,365
Bhubaneswar,Odisha,FY2024-25,76,133,105,37,0,0,351
Bhubaneswar,Odisha,FY2025-26,63,162,66,65,5,0,361
Bikaner,Rajasthan,FY2024-25,14,80,200,43,5,1,343
Bikaner,Rajasthan,FY2025-26,2,82,185,64,5,0,338
Bilaspur,Chhattisgarh,FY2024-25,135,180,22,0,0,0,337
Bilaspur,Chhattisgarh,FY2025-26,108,190,31,0,0,0,329
Bileipada,Odisha,FY2024-25,21,68,180,47,1,0,317
Bileipada,Odisha,FY2025-26,39,82,140,28,1,0,290
Boisar,Maharashtra,FY2024-25,37,143,139,15,0,0,334
Boisar,Maharashtra,FY2025-26,78,169,97,1,0,0,345
Brajrajnagar,Odisha,FY2024-25,62,151,103,3,0,0,319
Brajrajnagar,Odisha,FY2025-26,27,199,104,2,3,0,335
Bulandshahr,Uttar Pradesh,FY2024-25,44,58,203,49,5,1,360
Bulandshahr,Uttar Pradesh,FY2025-26,33,71,161,79,18,1,363
Bundi,Rajasthan,FY2024-25,34,92,190,19,3,0,338
Bundi,Rajasthan,FY2025-26,50,113,162,23,2,0,350
Buxar,Bihar,FY2024-25,23,79,123,37,7,0,269
Buxar,Bihar,FY2025-26,34,174,79,5,0,0,292
Byasanagar,Odisha,FY2024-25,70,98,133,39,3,0,343
Byasanagar,Odisha,FY2025-26,35,147,88,63,8,0,341
Byrnihat (Assam),Assam,FY2024-25,3,43,63,98,65,6,278
Byrnihat (Assam),Assam,FY2025-26,1,43,182,26,4,0,256
Chamarajanagar,Karnataka,FY2024-25,319,23,0,0,0,0,342
Chamarajanagar,Karnataka,FY2025-26,285,45,0,0,0,0,330
Chandigarh,Chandigarh,FY2024-25,22,114,155,58,14,1,364
Chandigarh,Chandigarh,FY2025-26,37,148,156,21,1,0,363
Chandrapur,Maharashtra,FY2024-25,103,94,151,7,0,0,355
Chandrapur,Maharashtra,FY2025-26,51,125,184,2,0,0,362
Charkhi Dadri,Haryana,FY2024-25,33,71,143,85,14,0,346
Charkhi Dadri,Haryana,FY2025-26,9,19,32,82,30,0,172
Chennai,Tamil Nadu,FY2024-25,60,257,46,1,0,0,364
Chennai,Tamil Nadu,FY2025-26,39,245,80,1,0,0,365
Chhal,Chhattisgarh,FY2024-25,80,173,59,6,0,0,318
Chhal,Chhattisgarh,FY2025-26,64,163,57,3,0,0,287
Chhapra,Bihar,FY2024-25,29,107,100,30,1,0,267
Chhapra,Bihar,FY2025-26,19,79,165,11,0,0,274
Chikkaballapur,Karnataka,FY2024-25,178,131,38,0,0,0,347
Chikkaballapur,Karnataka,FY2025-26,148,66,22,0,1,0,237
Chikkamagaluru,Karnataka,FY2024-25,195,96,2,0,0,0,293
Chikkamagaluru,Karnataka,FY2025-26,205,83,0,0,0,0,288
Chittoor,Andhra Pradesh,FY2024-25,43,154,55,0,0,0,252
Chittoor,Andhra Pradesh,FY2025-26,6,268,59,6,1,0,340
Chittorgarh,Rajasthan,FY2024-25,6,96,213,19,0,0,334
Chittorgarh,Rajasthan,FY2025-26,64,104,152,26,0,0,346
Churu,Rajasthan,FY2024-25,16,95,147,56,11,1,326
Churu,Rajasthan,FY2025-26,20,92,193,57,0,0,362
Coimbatore,Tamil Nadu,FY2024-25,132,136,42,0,0,0,310
Coimbatore,Tamil Nadu,FY2025-26,132,160,60,3,1,0,356
Cuddalore,Tamil Nadu,FY2024-25,187,99,22,2,1,0,311
Cuddalore,Tamil Nadu,FY2025-26,171,75,30,2,0,0,278
Cuttack,Odisha,FY2024-25,77,113,106,39,1,0,336
Cuttack,Odisha,FY2025-26,71,115,71,77,16,0,350
Damoh,Madhya Pradesh,FY2024-25,78,94,63,5,0,0,240
Damoh,Madhya Pradesh,FY2025-26,180,87,38,1,0,0,306
Dausa,Rajasthan,FY2024-25,16,102,199,30,2,0,349
Dausa,Rajasthan,FY2025-26,25,110,197,19,0,0,351
Davanagere,Karnataka,FY2024-25,142,117,36,0,0,0,295
Davanagere,Karnataka,FY2025-26,149,84,24,0,0,0,257
Dehradun,Uttarakhand,FY2024-25,82,142,103,21,0,0,348
Dehradun,Uttarakhand,FY2025-26,106,107,91,24,2,0,330
Delhi,Delhi,FY2024-25,0,68,136,90,56,14,364
Delhi,Delhi,FY2025-26,0,78,116,91,70,10,365
Dewas,Madhya Pradesh,FY2024-25,55,146,113,16,3,0,333
Dewas,Madhya Pradesh,FY2025-26,36,145,143,9,2,0,335
Dhanbad,Jharkhand,FY2024-25,1,10,162,40,15,1,229
