city,state,period,pollutant,days
Agartala,Tripura,FY2024-25,PM2.5,94
Agartala,Tripura,FY2024-25,PM10,153
Agartala,Tripura,FY2024-25,SO2,21
Agartala,Tripura,FY2024-25,O3,38
Agartala,Tripura,FY2025-26,PM2.5,57
Agartala,Tripura,FY2025-26,PM10,116
Agartala,Tripura,FY2025-26,SO2,78
Agartala,Tripura,FY2025-26,O3,43
Agra,Uttar Pradesh,FY2024-25,PM2.5,101
Agra,Uttar Pradesh,FY2024-25,PM10,207
Agra,Uttar Pradesh,FY2024-25,NO2,18
Agra,Uttar Pradesh,FY2024-25,SO2,10
Agra,Uttar Pradesh,FY2024-25,CO,1
Agra,Uttar Pradesh,FY2024-25,O3,27
Agra,Uttar Pradesh,FY2025-26,PM2.5,86
Agra,Uttar Pradesh,FY2025-26,PM10,255
Agra,Uttar Pradesh,FY2025-26,NO2,8
Agra,Uttar Pradesh,FY2025-26,SO2,4
Agra,Uttar Pradesh,FY2025-26,CO,4
Agra,Uttar Pradesh,FY2025-26,O3,8
Ahmedabad,Gujarat,FY2024-25,PM2.5,210
Ahmedabad,Gujarat,FY2024-25,PM10,103
Ahmedabad,Gujarat,FY2024-25,NO2,19
Ahmedabad,Gujarat,FY2024-25,SO2,1
Ahmedabad,Gujarat,FY2024-25,CO,3
Ahmedabad,Gujarat,FY2024-25,O3,28
Ahmedabad,Gujarat,FY2025-26,PM2.5,105
Ahmedabad,Gujarat,FY2025-26,PM10,206
Ahmedabad,Gujarat,FY2025-26,NO2,24
Ahmedabad,Gujarat,FY2025-26,SO2,2
Ahmedabad,Gujarat,FY2025-26,CO,13
Ahmedabad,Gujarat,FY2025-26,O3,15
Ahmednagar,Maharashtra,FY2024-25,PM2.5,32
Ahmednagar,Maharashtra,FY2024-25,PM10,169
Ahmednagar,Maharashtra,FY2024-25,CO,7
Ahmednagar,Maharashtra,FY2024-25,O3,89
Ahmednagar,Maharashtra,FY2025-26,PM2.5,30
Ahmednagar,Maharashtra,FY2025-26,PM10,247
Ahmednagar,Maharashtra,FY2025-26,NO2,1
Ahmednagar,Maharashtra,FY2025-26,CO,32
Ahmednagar,Maharashtra,FY2025-26,O3,35
Aizawl,Mizoram,FY2024-25,PM2.5,1
Aizawl,Mizoram,FY2024-25,PM10,317
Aizawl,Mizoram,FY2024-25,CO,1
Aizawl,Mizoram,FY2024-25,O3,31
Aizawl,Mizoram,FY2025-26,PM2.5,82
Aizawl,Mizoram,FY2025-26,PM10,137
Aizawl,Mizoram,FY2025-26,SO2,1
Ajmer,Rajasthan,FY2024-25,PM2.5,52
Ajmer,Rajasthan,FY2024-25,PM10,262
Ajmer,Rajasthan,FY2024-25,NO2,3
Ajmer,Rajasthan,FY2024-25,CO,1
Ajmer,Rajasthan,FY2024-25,O3,40
Ajmer,Rajasthan,FY2025-26,PM2.5,29
Ajmer,Rajasthan,FY2025-26,PM10,305
Ajmer,Rajasthan,FY2025-26,NO2,5
Ajmer,Rajasthan,FY2025-26,CO,8
Ajmer,Rajasthan,FY2025-26,O3,12
Akola,Maharashtra,FY2024-25,PM2.5,10
Akola,Maharashtra,FY2024-25,PM10,349
Akola,Maharashtra,FY2024-25,CO,3
Akola,Maharashtra,FY2024-25,O3,2
Akola,Maharashtra,FY2025-26,PM2.5,7
Akola,Maharashtra,FY2025-26,PM10,332
Akola,Maharashtra,FY2025-26,NO2,3
Akola,Maharashtra,FY2025-26,CO,5
Akola,Maharashtra,FY2025-26,O3,10
Alwar,Rajasthan,FY2024-25,PM2.5,30
Alwar,Rajasthan,FY2024-25,PM10,289
Alwar,Rajasthan,FY2024-25,NO2,25
Alwar,Rajasthan,FY2024-25,CO,14
Alwar,Rajasthan,FY2024-25,O3,1
Alwar,Rajasthan,FY2025-26,PM2.5,19
Alwar,Rajasthan,FY2025-26,PM10,226
Alwar,Rajasthan,FY2025-26,NO2,45
Alwar,Rajasthan,FY2025-26,CO,56
Alwar,Rajasthan,FY2025-26,O3,4
Amaravati,Andhra Pradesh,FY2024-25,PM2.5,30
Amaravati,Andhra Pradesh,FY2024-25,PM10,206
Amaravati,Andhra Pradesh,FY2024-25,NO2,5
Amaravati,Andhra Pradesh,FY2024-25,SO2,3
Amaravati,Andhra Pradesh,FY2024-25,CO,91
Amaravati,Andhra Pradesh,FY2024-25,O3,16
Amaravati,Andhra Pradesh,FY2025-26,PM2.5,50
Amaravati,Andhra Pradesh,FY2025-26,PM10,249
Amaravati,Andhra Pradesh,FY2025-26,NO2,17
Amaravati,Andhra Pradesh,FY2025-26,SO2,3
Amaravati,Andhra Pradesh,FY2025-26,CO,14
Amaravati,Andhra Pradesh,FY2025-26,O3,14
Amravati,Maharashtra,FY2024-25,PM2.5,28
Amravati,Maharashtra,FY2024-25,PM10,308
Amravati,Maharashtra,FY2024-25,CO,7
Amravati,Maharashtra,FY2024-25,O3,20
Amravati,Maharashtra,FY2025-26,PM2.5,19
Amravati,Maharashtra,FY2025-26,PM10,302
Amravati,Maharashtra,FY2025-26,CO,12
Amravati,Maharashtra,FY2025-26,O3,31
Amritsar,Punjab,FY2024-25,PM2.5,143
Amritsar,Punjab,FY2024-25,PM10,166
Amritsar,Punjab,FY2024-25,NO2,2
Amritsar,Punjab,FY2024-25,CO,18
Amritsar,Punjab,FY2024-25,O3,16
Amritsar,Punjab,FY2025-26,PM2.5,97
Amritsar,Punjab,FY2025-26,PM10,186
Amritsar,Punjab,FY2025-26,NO2,15
Amritsar,Punjab,FY2025-26,CO,29
Amritsar,Punjab,FY2025-26,O3,13
Anantapur,Andhra Pradesh,FY2024-25,PM2.5,40
Anantapur,Andhra Pradesh,FY2024-25,PM10,229
Anantapur,Andhra Pradesh,FY2024-25,NO2,2
Anantapur,Andhra Pradesh,FY2024-25,SO2,1
Anantapur,Andhra Pradesh,FY2024-25,CO,2
Anantapur,Andhra Pradesh,FY2024-25,O3,4
Anantapur,Andhra Pradesh,FY2025-26,PM2.5,241
Anantapur,Andhra Pradesh,FY2025-26,PM10,70
Anantapur,Andhra Pradesh,FY2025-26,CO,1
Anantapur,Andhra Pradesh,FY2025-26,O3,2
Angul,Odisha,FY2024-25,PM2.5,138
Angul,Odisha,FY2024-25,PM10,111
Angul,Odisha,FY2024-25,NO2,3
Angul,Odisha,FY2024-25,SO2,1
Angul,Odisha,FY2024-25,CO,45
Angul,Odisha,FY2024-25,O3,33
Angul,Odisha,FY2025-26,PM2.5,94
Angul,Odisha,FY2025-26,PM10,100
Angul,Odisha,FY2025-26,CO,92
Angul,Odisha,FY2025-26,O3,66
Ankleshwar,Gujarat,FY2024-25,PM2.5,117
Ankleshwar,Gujarat,FY2024-25,PM10,109
Ankleshwar,Gujarat,FY2024-25,NO2,7
Ankleshwar,Gujarat,FY2024-25,SO2,7
Ankleshwar,Gujarat,FY2024-25,CO,73
Ankleshwar,Gujarat,FY2024-25,O3,1
Ankleshwar,Gujarat,FY2025-26,PM2.5,66
Ankleshwar,Gujarat,FY2025-26,PM10,114
Ankleshwar,Gujarat,FY2025-26,NO2,41
Ankleshwar,Gujarat,FY2025-26,SO2,69
Ankleshwar,Gujarat,FY2025-26,CO,5
Ankleshwar,Gujarat,FY2025-26,O3,21
Araria,Bihar,FY2024-25,PM2.5,92
Araria,Bihar,FY2024-25,PM10,139
Araria,Bihar,FY2024-25,CO,3
Araria,Bihar,FY2024-25,O3,1
Araria,Bihar,FY2025-26,PM2.5,192
