city,state,period,pollutant,mean,days_with_data
Agartala,Tripura,FY2024-25,CO,0.7,306
Agartala,Tripura,FY2024-25,NO2,9.5,306
Agartala,Tripura,FY2024-25,O3,45.3,306
Agartala,Tripura,FY2024-25,PM10,95.7,306
Agartala,Tripura,FY2024-25,PM2.5,46.046,306
Agartala,Tripura,FY2025-26,CO,0.3,294
Agartala,Tripura,FY2025-26,NO2,7.2,294
Agartala,Tripura,FY2025-26,O3,33.5,294
Agartala,Tripura,FY2025-26,PM10,49.8,294
Agartala,Tripura,FY2025-26,PM2.5,22.991,294
Agra,Uttar Pradesh,FY2024-25,CO,0.5,364
Agra,Uttar Pradesh,FY2024-25,NO2,18.7,364
Agra,Uttar Pradesh,FY2024-25,O3,26.0,364
Agra,Uttar Pradesh,FY2024-25,PM10,75.5,364
Agra,Uttar Pradesh,FY2024-25,PM2.5,31.414,364
Agra,Uttar Pradesh,FY2025-26,CO,0.6,365
Agra,Uttar Pradesh,FY2025-26,NO2,18.9,365
Agra,Uttar Pradesh,FY2025-26,O3,21.9,365
Agra,Uttar Pradesh,FY2025-26,PM10,111.8,365
Agra,Uttar Pradesh,FY2025-26,PM2.5,43.463,365
Ahmedabad,Gujarat,FY2024-25,CO,1.1,364
Ahmedabad,Gujarat,FY2024-25,NO2,31.2,364
Ahmedabad,Gujarat,FY2024-25,O3,52.6,364
Ahmedabad,Gujarat,FY2024-25,PM10,106.6,364
Ahmedabad,Gujarat,FY2024-25,PM2.5,53.844,364
Ahmedabad,Gujarat,FY2025-26,CO,1.1,365
Ahmedabad,Gujarat,FY2025-26,NO2,34.4,365
Ahmedabad,Gujarat,FY2025-26,O3,45.1,365
Ahmedabad,Gujarat,FY2025-26,PM10,105.2,365
Ahmedabad,Gujarat,FY2025-26,PM2.5,45.216,365
Ahmednagar,Maharashtra,FY2024-25,CO,1.3,297
Ahmednagar,Maharashtra,FY2024-25,NO2,28.7,297
Ahmednagar,Maharashtra,FY2024-25,O3,86.4,297
Ahmednagar,Maharashtra,FY2024-25,PM10,109.4,297
Ahmednagar,Maharashtra,FY2024-25,PM2.5,44.697,297
